2013,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,1003.00
2014,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,747.00
2015,"Guelph, Ontario","Total, all violations",Cleared otherwise,v52126850,46.1.6,583.00
2005,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,..
2006,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,1948.00
2007,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,2001.00
2008,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,1916.00
2009,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,2144.00
2010,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,2240.00
2011,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,1896.00
2012,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,1834.00
2013,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,1725.00
2014,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,1843.00
2015,"Guelph, Ontario","Total, all violations",Total persons charged,v52126853,46.1.7,2049.00
2005,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,..
2006,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,1894.79
2007,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,1931.93
2008,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,1830.22
2009,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,2029.27
2010,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,2092.30
2011,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,1750.24
2012,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,1669.66
2013,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,1555.96
2014,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,1646.11
2015,"Guelph, Ontario","Total, all violations",Rate, total persons charged per 100000 population aged 12 years and over,v52126855,46.1.8,1813.84
2005,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,..
2006,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1659.00
2007,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1671.00
2008,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1632.00
2009,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1756.00
2010,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1914.00
2011,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1607.00
2012,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1567.00
2013,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1497.00
2014,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1658.00
2015,"Guelph, Ontario","Total, all violations",Total adult charged,v52126847,46.1.9,1926.00
2005,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,..
2006,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1770.17
2007,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1771.01
2008,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1709.71
2009,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1820.12
2010,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1953.74
2011,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1619.50
2012,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1553.95
2013,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1467.23
2014,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1605.17
2015,"Guelph, Ontario","Total, all violations",Rate, adult charged per 100000 population aged 18 years and over,v52126848,46.1.10,1844.65
2005,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,..
2006,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,289.00
2007,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,330.00
2008,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,284.00
2009,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,388.00
2010,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,326.00
2011,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,289.00
2012,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,267.00
2013,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,228.00
2014,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,185.00
2015,"Guelph, Ontario","Total, all violations",Total youth charged,v52126856,46.1.11,123.00
2005,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,..
2006,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,3180.02
2007,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,3578.40
2008,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,3076.26
2009,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,4227.96
2010,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,3585.18
2011,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,3175.82
2012,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,2965.68
2013,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,2580.65
2014,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,2133.79
2015,"Guelph, Ontario","Total, all violations",Rate, youth charged per 100000 population aged 12 to 17 years,v52126857,46.1.12,1437.76
2005,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,..
2006,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,334.00
2007,"Guelph, Ontario","Total, all violations",Total, youth not charged,v53094751,46.1.13,504.00
